Comment,Designator,Footprint,LCSC Part #
U.FL-R-SMT-1(10),"JUD,JUE,JUF",U.FL_Hirose_U.FL-R-SMT-1_Vertical,C88373
WR-MMCX 66012102111404,"JMA,JMB,JMC,JMG,JMH,JMI",WR-MMCX_Wuerth_66012102111404_Vertical,GLOBAL-SOURCING (Wurth 66012102111404)
